task_id,student_id,assignment_id,task_title,description,start_date,due_date,finished_date,status,priority,created_at,is_milestone
tsk_012,std_001,asn_019,Design Iteration & Refinement,Refine design based on usability test and lecturer feedback,2025-10-08 01:00:00+00,2025-10-20 15:59:00+00,2025-10-19 11:20:00+00,completed,medium,2025-07-23 09:00:33.282465+00,false
tsk_013,std_001,asn_019,Case Study Documentation,Write comprehensive case study with process documentation,2025-10-21 01:00:00+00,2025-11-05 15:59:00+00,2025-11-04 12:30:00+00,completed,high,2025-07-23 09:00:33.282465+00,false
tsk_014,std_001,asn_019,Final Presentation Preparation,Create presentation slides and practice delivery,2025-11-06 01:00:00+00,2025-11-10 04:00:00+00,2025-11-09 08:45:00+00,completed,medium,2025-07-23 09:00:33.282465+00,false
tsk_015,std_001,asn_019,Assignment Submission,Submit final case study and presentation materials,2025-11-10 08:45:00+00,2025-11-10 08:45:00+00,2025-11-10 08:45:00+00,completed,high,2025-07-23 09:00:33.282465+00,true
tsk_016,std_001,asn_020,Team Kickoff Meeting,Define project scope and assign individual responsibilities,2025-07-15 06:00:00+00,2025-07-15 08:00:00+00,2025-07-15 07:30:00+00,completed,high,2025-07-23 09:07:04.206761+00,true
tsk_017,std_002,asn_020,Market Research Planning,Create research framework and methodology,2025-07-16 01:00:00+00,2025-07-22 15:59:00+00,2025-07-21 10:45:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_018,std_001,asn_020,User Research Strategy,Design user research approach and interview questions,2025-07-16 01:00:00+00,2025-07-25 15:59:00+00,2025-07-24 11:30:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_019,std_001,asn_020,Competitive UX Analysis,Analyze competitor user experiences and identify gaps,2025-07-25 01:00:00+00,2025-08-05 15:59:00+00,2025-08-04 09:15:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_020,std_001,asn_020,User Journey Mapping,Create detailed user journey maps for target personas,2025-08-05 01:00:00+00,2025-08-15 15:59:00+00,2025-08-14 12:45:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_021,std_002,asn_020,Market Size Analysis,Research and quantify target market opportunity,2025-07-22 01:00:00+00,2025-08-02 15:59:00+00,2025-08-01 08:30:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_022,std_002,asn_020,Business Model Canvas,Develop comprehensive business model framework,2025-08-02 01:00:00+00,2025-08-12 15:59:00+00,2025-08-11 10:20:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_023,std_002,asn_020,Revenue Strategy Planning,Define monetization strategy and pricing models,2025-08-12 01:00:00+00,2025-08-22 15:59:00+00,2025-08-21 11:45:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_024,std_006,asn_020,Feature Prioritization Matrix,Create and validate product feature roadmap,2025-07-16 01:00:00+00,2025-07-28 15:59:00+00,2025-07-27 09:30:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_025,std_006,asn_020,Technical Requirements Doc,Define technical specifications and constraints,2025-07-28 01:00:00+00,2025-08-10 15:59:00+00,2025-08-09 12:15:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_026,std_006,asn_020,MVP Definition & Scope,Define minimum viable product scope and timeline,2025-08-10 01:00:00+00,2025-08-20 15:59:00+00,2025-08-19 10:45:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_027,std_012,asn_020,Brand Positioning Strategy,Develop brand identity and positioning framework,2025-07-16 01:00:00+00,2025-07-30 15:59:00+00,2025-07-29 08:20:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_028,std_012,asn_020,Design System Planning,Create design system strategy and component library plan,2025-07-30 01:00:00+00,2025-08-12 15:59:00+00,2025-08-11 11:30:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_029,std_012,asn_020,Visual Identity Concepts,Develop visual identity concepts and style directions,2025-08-12 01:00:00+00,2025-08-25 15:59:00+00,2025-08-24 09:45:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_030,std_001,asn_020,Mid-Project Check-in with Lecturer,Present research findings and strategic direction,2025-08-26 02:00:00+00,2025-08-26 03:30:00+00,2025-08-26 03:15:00+00,completed,high,2025-07-23 09:07:04.206761+00,true
tsk_031,std_002,asn_020,Strategy Integration Workshop,Combine individual research into cohesive strategy,2025-08-27 06:00:00+00,2025-08-27 10:00:00+00,2025-08-27 09:30:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_032,std_006,asn_020,Implementation Roadmap,Create detailed implementation timeline and milestones,2025-08-28 01:00:00+00,2025-09-05 15:59:00+00,2025-09-04 12:15:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_033,std_012,asn_020,Presentation Design & Slides,Create visually compelling presentation materials,2025-09-06 01:00:00+00,2025-09-20 15:59:00+00,2025-09-19 10:30:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_034,std_001,asn_020,Executive Summary Writing,Write comprehensive executive summary document,2025-09-21 01:00:00+00,2025-10-05 15:59:00+00,2025-10-04 11:45:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_035,std_002,asn_020,Financial Projections & Metrics,Finalize business metrics and financial forecasts,2025-10-06 01:00:00+00,2025-10-20 15:59:00+00,2025-10-19 09:20:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_036,std_006,asn_020,Technical Feasibility Report,Document technical implementation strategy and risks,2025-10-21 01:00:00+00,2025-11-05 15:59:00+00,2025-11-04 12:00:00+00,completed,medium,2025-07-23 09:07:04.206761+00,false
tsk_037,std_001,asn_020,Final Presentation Rehearsal,Team practice session and presentation refinement,2025-11-08 06:00:00+00,2025-11-08 09:00:00+00,2025-11-08 08:45:00+00,completed,high,2025-07-23 09:07:04.206761+00,false
tsk_038,std_002,asn_020,Assignment Submission,Submit final strategy document and presentation,2025-11-12 06:30:00+00,2025-11-12 06:30:00+00,2025-11-12 06:30:00+00,completed,high,2025-07-23 09:07:04.206761+00,true
tsk_039,std_001,asn_021,Team Kickoff & Project Planning,"Define project scope, roles, and establish team collaboration workflow",2025-07-15 06:00:00+00,2025-07-15 08:00:00+00,2025-07-15 07:45:00+00,completed,high,2025-07-23 09:30:00+00,true
tsk_040,std_002,asn_021,Research & Competitive Analysis,Research existing design systems and analyze competitor approaches,2025-07-16 01:00:00+00,2025-07-25 15:59:00+00,2025-07-24 10:30:00+00,completed,high,2025-07-23 09:30:00+00,false
tsk_041,std_002,asn_021,User Research & Requirements Gathering,Interview stakeholders and gather design system requirements,2025-07-26 01:00:00+00,2025-08-02 15:59:00+00,2025-08-01 11:45:00+00,completed,medium,2025-07-23 09:30:00+00,false
tsk_042,std_001,asn_021,Design Token Definition,"Define core design tokens including colors, spacing, and typography scales",2025-08-03 01:00:00+00,2025-08-12 15:59:00+00,,in_progress,high,2025-07-23 09:30:00+00,false
tsk_043,std_006,asn_021,Typography System Research,Research and define typography hierarchy and font pairings,2025-08-03 01:00:00+00,2025-08-10 15:59:00+00,,in_progress,medium,2025-07-23 09:30:00+00,false
tsk_044,std_012,asn_021,Brand Guidelines Analysis,Analyze existing brand guidelines and define design system alignment,2025-08-11 01:00:00+00,2025-08-18 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_045,std_001,asn_021,Color Palette & Theme Creation,Create comprehensive color system with light/dark theme support,2025-08-13 01:00:00+00,2025-08-22 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_046,std_006,asn_021,Typography Scale Implementation,Implement responsive typography scale and font loading strategy,2025-08-19 01:00:00+00,2025-08-28 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_047,std_012,asn_021,Spacing & Grid System,Define spacing tokens and responsive grid system framework,2025-08-19 01:00:00+00,2025-08-28 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_048,std_002,asn_021,Icon Library Curation,"Research, select and organize icon library for the design system",2025-08-23 01:00:00+00,2025-09-02 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_049,std_001,asn_021,Mid-Project Review,Present design foundation and get lecturer feedback on progress,2025-09-03 02:00:00+00,2025-09-03 03:30:00+00,,pending,high,2025-07-23 09:30:00+00,true
tsk_050,std_001,asn_021,Button Component System,Design and develop comprehensive button component variations,2025-09-04 01:00:00+00,2025-09-15 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_051,std_002,asn_021,Form Components,"Create input fields, dropdowns, checkboxes, and form validation states",2025-09-04 01:00:00+00,2025-09-18 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_052,std_006,asn_021,Navigation Components,"Design navigation bars, breadcrumbs, pagination, and menu systems",2025-09-16 01:00:00+00,2025-09-28 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_053,std_012,asn_021,Card & Layout Components,"Create card layouts, modals, tooltips, and container components",2025-09-19 01:00:00+00,2025-10-02 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_054,std_001,asn_021,Data Display Components,"Design tables, lists, badges, and data visualization components",2025-09-29 01:00:00+00,2025-10-10 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_055,std_002,asn_021,Feedback Components,"Create alerts, notifications, loading states, and error messages",2025-10-03 01:00:00+00,2025-10-12 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_056,std_006,asn_021,Interactive Prototyping,Create interactive prototypes demonstrating component interactions,2025-10-11 01:00:00+00,2025-10-22 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_057,std_012,asn_021,Accessibility Guidelines,Define accessibility standards and test components for WCAG compliance,2025-10-13 01:00:00+00,2025-10-25 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_058,std_001,asn_021,Design System Documentation,Create comprehensive documentation site with usage guidelines,2025-10-26 01:00:00+00,2025-11-08 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_059,std_002,asn_021,Component Testing & QA,Test all components across different browsers and devices,2025-10-28 01:00:00+00,2025-11-10 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_060,std_006,asn_021,Design System Showcase,Create demonstration pages showing system implementation,2025-11-09 01:00:00+00,2025-11-15 15:59:00+00,,pending,medium,2025-07-23 09:30:00+00,false
tsk_061,std_012,asn_021,Final Presentation Preparation,Prepare team presentation and demo materials,2025-11-16 01:00:00+00,2025-11-19 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,false
tsk_062,std_001,asn_021,Assignment Submission,Submit final design system and documentation,2025-11-20 15:30:00+00,2025-11-20 15:59:00+00,,pending,high,2025-07-23 09:30:00+00,true
tsk_063,std_001,asn_022,Portfolio Audit & Planning,Audit existing work and plan portfolio structure and narrative,2025-07-15 01:00:00+00,2025-07-25 15:59:00+00,2025-07-24 11:30:00+00,completed,high,2025-07-23 09:45:00+00,false
tsk_064,std_001,asn_022,Personal Brand Definition,"Define personal brand identity, values, and design philosophy",2025-07-26 01:00:00+00,2025-08-05 15:59:00+00,2025-08-04 10:15:00+00,completed,high,2025-07-23 09:45:00+00,false
tsk_065,std_001,asn_022,Project Case Study Development,Develop detailed case studies for 3-4 key projects with process documentation,2025-08-06 01:00:00+00,2025-08-25 15:59:00+00,2025-08-24 09:20:00+00,completed,high,2025-07-23 09:45:00+00,false
tsk_066,std_001,asn_022,Portfolio Website Design,Design and prototype portfolio website layout and user experience,2025-08-26 01:00:00+00,2025-09-10 15:59:00+00,2025-09-09 14:30:00+00,completed,high,2025-07-23 09:45:00+00,false
tsk_067,std_001,asn_022,Mid-Project Review with Lecturer,Present portfolio concept and get feedback on direction,2025-09-11 14:00:00+00,2025-09-11 15:00:00+00,2025-09-11 14:45:00+00,completed,high,2025-07-23 09:45:00+00,true
tsk_068,std_001,asn_022,Content Creation & Photography,Create high-quality project images and write compelling project descriptions,2025-09-12 01:00:00+00,2025-10-02 15:59:00+00,,in_progress,medium,2025-07-23 09:45:00+00,false
tsk_069,std_001,asn_022,Website Development,Build responsive portfolio website with interactive elements,2025-10-03 01:00:00+00,2025-10-20 15:59:00+00,,pending,high,2025-07-23 09:45:00+00,false
tsk_070,std_001,asn_022,Resume & CV Design,Design professional resume and CV matching portfolio brand,2025-10-21 01:00:00+00,2025-11-05 15:59:00+00,,pending,medium,2025-07-23 09:45:00+00,false
tsk_071,std_001,asn_022,User Testing & Feedback,Test portfolio with peers and industry professionals for feedback,2025-11-06 01:00:00+00,2025-11-15 15:59:00+00,,pending,medium,2025-07-23 09:45:00+00,false
tsk_072,std_001,asn_022,Final Portfolio Refinement,Implement feedback and polish final portfolio presentation,2025-11-16 01:00:00+00,2025-11-21 15:59:00+00,,pending,high,2025-07-23 09:45:00+00,false
tsk_073,std_001,asn_022,Portfolio Submission,Submit final portfolio website and presentation materials,2025-11-22 15:30:00+00,2025-11-22 15:59:00+00,,pending,high,2025-07-23 09:45:00+00,true
tsk_074,std_001,asn_023,Research Methodology Planning,"Define usability testing approach, metrics, and target user demographics",2025-07-18 01:00:00+00,2025-07-28 15:59:00+00,2025-07-27 10:45:00+00,completed,high,2025-07-23 10:00:00+00,false
tsk_075,std_001,asn_023,Test Protocol Development,"Create detailed test scripts, scenarios, and data collection frameworks",2025-07-29 01:00:00+00,2025-08-08 15:59:00+00,2025-08-07 11:30:00+00,completed,high,2025-07-23 10:00:00+00,false
tsk_076,std_001,asn_023,Testing Platform Setup,"Set up testing environment, tools, and recording equipment",2025-08-09 01:00:00+00,2025-08-18 15:59:00+00,2025-08-17 09:15:00+00,completed,medium,2025-07-23 10:00:00+00,false
tsk_077,std_001,asn_023,Participant Recruitment,Recruit and schedule 8-10 participants representing target user groups,2025-08-19 01:00:00+00,2025-08-30 15:59:00+00,2025-08-29 14:20:00+00,completed,high,2025-07-23 10:00:00+00,false
tsk_078,std_001,asn_023,Mid-Project Check-in,Present testing plan and methodology to lecturer for approval,2025-09-02 14:00:00+00,2025-09-02 15:00:00+00,2025-09-02 14:45:00+00,completed,high,2025-07-23 10:00:00+00,true
tsk_079,std_001,asn_023,Usability Testing Sessions,Conduct moderated usability testing sessions with all participants,2025-09-03 01:00:00+00,2025-09-20 15:59:00+00,2025-09-19 16:30:00+00,completed,high,2025-07-23 10:00:00+00,false
tsk_080,std_001,asn_023,Data Analysis & Synthesis,"Analyze test recordings, metrics, and feedback for patterns and insights",2025-09-21 01:00:00+00,2025-10-05 15:59:00+00,,in_progress,high,2025-07-23 10:00:00+00,false
tsk_081,std_001,asn_023,Findings Documentation,"Document key findings, usability issues, and severity ratings",2025-10-06 01:00:00+00,2025-10-18 15:59:00+00,,pending,high,2025-07-23 10:00:00+00,false
tsk_082,std_001,asn_023,Recommendations Development,Develop actionable recommendations and improvement priorities,2025-10-19 01:00:00+00,2025-11-02 15:59:00+00,,pending,high,2025-07-23 10:00:00+00,false
tsk_083,std_001,asn_023,Report Writing & Visualization,Write comprehensive report with data visualizations and evidence,2025-11-03 01:00:00+00,2025-11-12 15:59:00+00,,pending,high,2025-07-23 10:00:00+00,false
tsk_084,std_001,asn_023,Final Review & Submission,Review report for accuracy and submit final usability testing report,2025-11-13 01:00:00+00,2025-11-17 15:59:00+00,,pending,high,2025-07-23 10:00:00+00,true
tsk_085,std_001,asn_024,Campaign Selection & Setup,Select digital campaigns to analyze and set up analytics tracking,2025-07-20 01:00:00+00,2025-07-30 15:59:00+00,2025-07-29 12:45:00+00,ongoing,high,2025-07-23 10:15:00+00,false
tsk_086,std_001,asn_024,Data Collection Framework,"Define KPIs, metrics, and data collection methodology",2025-07-31 01:00:00+00,2025-08-10 15:59:00+00,2025-08-09 11:20:00+00,pending,high,2025-07-23 10:15:00+00,false
tsk_087,std_001,asn_024,Analytics Tools Setup,"Configure Google Analytics, Facebook Insights, and other tracking tools",2025-08-11 01:00:00+00,2025-08-20 15:59:00+00,2025-08-19 10:30:00+00,pending,medium,2025-07-23 10:15:00+00,false
tsk_088,std_001,asn_024,Baseline Performance Analysis,Analyze pre-optimization campaign performance and identify issues,2025-08-21 01:00:00+00,2025-09-02 15:59:00+00,2025-09-01 14:15:00+00,pending,high,2025-07-23 10:15:00+00,false
tsk_089,std_001,asn_024,Competitor Analysis,Research and analyze competitor digital marketing strategies,2025-09-03 01:00:00+00,2025-09-15 15:59:00+00,2025-09-14 09:45:00+00,pending,medium,2025-07-23 10:15:00+00,false
tsk_090,std_001,asn_024,Optimization Strategy Development,Develop comprehensive optimization strategies based on analysis findings,2025-09-16 01:00:00+00,2025-09-28 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,false
tsk_091,std_001,asn_024,Milestone 1: Analysis Report,Submit initial campaign analysis and optimization recommendations,2025-09-29 01:00:00+00,2025-09-30 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,true
tsk_092,std_001,asn_024,A/B Testing Implementation,Design and implement A/B tests for key campaign elements,2025-10-01 01:00:00+00,2025-10-12 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,false
tsk_093,std_001,asn_024,Campaign Optimization Execution,Implement optimization strategies and monitor performance changes,2025-10-13 01:00:00+00,2025-10-25 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,false
tsk_094,std_001,asn_024,Milestone 2: Optimization Results,Present A/B testing results and optimization impact analysis,2025-10-26 01:00:00+00,2025-10-28 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,true
tsk_095,std_001,asn_024,ROI Analysis & Reporting,Calculate return on investment and prepare comprehensive performance metrics,2025-10-29 01:00:00+00,2025-11-08 15:59:00+00,,pending,medium,2025-07-23 10:15:00+00,false
tsk_096,std_001,asn_024,Dashboard Creation,Create interactive analytics dashboard for ongoing campaign monitoring,2025-11-09 01:00:00+00,2025-11-18 15:59:00+00,,pending,medium,2025-07-23 10:15:00+00,false
tsk_097,std_001,asn_024,Milestone 3: Performance Dashboard,Demo interactive dashboard and present key insights,2025-11-19 01:00:00+00,2025-11-20 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,true
tsk_098,std_001,asn_024,Final Report Preparation,Compile comprehensive final report with all findings and recommendations,2025-11-21 01:00:00+00,2025-11-24 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,false
tsk_099,std_001,asn_024,Final Submission: Digital Campaign Analytics,Submit complete digital campaign analytics project with all deliverables,2025-11-25 01:00:00+00,2025-11-25 15:59:00+00,,pending,high,2025-07-23 10:15:00+00,true
